Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
16,Avalon,"[128,32]",0.952919021,0.940432108,0.944152231,0.942169052,0.964304462,0.969083115,0.978267717,889,3
23,Avalon,"[64,32,16]",0.952919021,0.94325919,0.940514436,0.941734422,0.969028871,0.965529821,0.976923885,890,2
236,Layered,"[512,256,128]",0.952919021,0.944994936,0.938493438,0.941415215,0.971653543,0.965220584,0.979174103,890,2
245,Layered,"[64,32]",0.952919021,0.942609319,0.941322835,0.941795786,0.967979003,0.968246214,0.980372703,891,1
291,Mordred,"[512,64]",0.952919021,0.943363982,0.940918635,0.941794985,0.968503937,0.963526697,0.978701662,891,1
295,Mordred,"[128,64]",0.952919021,0.944698562,0.938897638,0.941613402,0.971128609,0.967501427,0.980895888,890,2
369,Pharm2D-Pmapper,"[256,128,64]",0.952919021,0.946265022,0.937850439,0.941451589,0.972663351,0.962979255,0.974098592,890,2
444,Pattern,"[32,16]",0.952919021,0.948228548,0.935430768,0.941308381,0.975824009,0.971928485,0.982555616,889,3
458,RDKit,"[512,128]",0.952919021,0.94658295,0.936472441,0.941218998,0.974278215,0.967880609,0.979265092,886,6
473,RDKit,"[32,8]",0.952919021,0.940815715,0.944152231,0.942204793,0.964304462,0.969045256,0.980360455,890,2
